id,country,city,citySlug,countrySlug,slug,status,displayName,hasCampus
6527bfe367904323b21b54c8,France,Cannes,cannes,france,universite-cote-d-azur-campus-georges-melies,TRUE,UniversitÃ© CÃ´te d'Azur - Campus Georges MÃ©liÃ¨s,FALSE
6527c03467904323b21b58b6,France,Cannes,cannes,france,iut-of-nice-university-of-cote-d-azur-campus-tc-cannes,TRUE,"IUT of Nice, University of Cote d'Azur, Campus TC Cannes",FALSE
6527c15167904323b21b6b82,France,Avignon,avignon,france,avignon-universite-campus-hannah-arendt,TRUE,Avignon UniversitÃ©: Campus Hannah Arendt,FALSE
6527c1a367904323b21b736b,France,Avignon,avignon,france,universite-d-avignon-et-des-pays-de-vaucluse-formations,TRUE,UniversitÃ© d'Avignon et des Pays de Vaucluse Formations,FALSE
6527c20f67904323b21b7c9f,France,Fontainebleau,fontainebleau,france,centre-regional-oeuvres-univ-scolaires,TRUE,Centre Regional Oeuvres Univ Scolaires,FALSE
6527ca9367904323b21bdc3a,France,Fontainebleau,fontainebleau,france,flagship-section,TRUE,Flagship Section,FALSE
6527caf567904323b21bde37,France,Orleans,orleans,france,universite-orleans-collegium,TRUE,UniversitÃ© OrlÃ©ans-COllegium,FALSE
6527cb2a67904323b21bdf97,France,Orleans,orleans,france,centre-international-universitaire-pour-la-recherche,TRUE,Centre International Universitaire pour la Recherche,FALSE
6527cbd367904323b21bebe4,France,Vesseaux,vesseaux,france,claude-bernard-university-lyon-1,TRUE,Claude Bernard University Lyon 1,FALSE
6527cc6c67904323b21bff5b,France,Brest,brest,france,departement-electronique-ubo,TRUE,DÃ©partement Electronique UBO,FALSE
6527cc9e67904323b21c009c,France,Brest,brest,france,universite-de-bretagne-occidentale,TRUE,UniversitÃ© de Bretagne Occidentale,FALSE
6527cd2867904323b21c09f2,France,Amiens,amiens,france,university-of-picardie-jules-verne,TRUE,University of Picardie Jules Verne,FALSE
6527cd5c67904323b21c0ccf,France,Amiens,amiens,france,julia-pernaut,TRUE,Julia Pernaut,FALSE
6527ce3f67904323b21c2375,Poland,GdaÅ„sk,gdansk,poland,university-of-physical-education-and-sport-awfis,TRUE,University of Physical Education and Sport-AWFIS,FALSE
6527ce6b67904323b21c27b2,Poland,GdaÅ„sk,gdansk,poland,medical-university-of-gdansk,TRUE,Medical University of GdaÅ„sk,FALSE
6527cfb067904323b21c3fd4,Italy,Siracusa,siracusa,italy,universita-degli-studi-ecampus-siracusa,TRUE,UniversitÃ degli Studi eCampus Siracusa,FALSE
6527cfe167904323b21c4769,Italy,Siracusa,siracusa,italy,universita-di-catania,TRUE,UniversitÃ Di Catania,FALSE
6527d04667904323b21c4d4f,Italy,Alcamo,alcamo,italy,iefcostre-alcamo,TRUE,IEFCOSTRE ALCAMO,FALSE
6527d25367904323b21c762f,Spain,Granada,granada,spain,herbario-de-la-universidad-de-granada-gda,TRUE,Herbario de la Universidad de Granada (GDA),FALSE
6527d2c867904323b21c7e2c,Spain,Burgos,burgos,spain,ubu-campus-rio-vena,TRUE,"UBU, Campus Rio Vena",FALSE
6527d31067904323b21c7ea1,Spain,Burgos,burgos,spain,facultad-de-humanidades-y-comunicacion-universidad-de-burgos,TRUE,Facultad de Humanidades y ComunicaciÃ³n . Universidad de Burgos,FALSE
6527d34c67904323b21c8245,Spain,Burgos,burgos,spain,facultad-de-ciencias-economicas-y-empresariales-universidad-de-burgos,TRUE,Facultad de Ciencias EconÃ³micas y Empresariales . Universidad de Burgos,FALSE
6529066d67904323b22458fd,Canada,North Bay,north-bay,canada,nipissing-university-student-centre,TRUE,Nipissing University Student Centre,FALSE
652906da67904323b22460d1,Canada,North Bay,north-bay,canada,college-boreal-au-nipissing,TRUE,College Boreal Au Nipissing,FALSE
652907ce67904323b2246abe,Canada,Gatineau,gatineau,canada,universite-mcgill-campus-outaouais,TRUE,UniversitÃ© McGill Campus Outaouais,FALSE
6529086c67904323b224796d,Canada,Brampton,brampton,canada,victoria-university-3,TRUE,Victoria University - Brampton,FALSE
