id,displayName,slug,country,city,countrySlug,citySlug,Parent University Id,Parent University Slug
613aee4dfc9db990e6c5efa2,University of South Australia (UniSA) - Whyalla Campus,university-of-south-australia-unisa-whyalla-campus,Australia,Adelaide,australia,adelaide,5a6870ff32328a1060e0657e,university-of-south-australia-(unisa)
613aee4dfc9db990e6c5ef48,Victoria University - Footscray Park Campus,victoria-university-footscray-park-campus,Australia,Melbourne,australia,melbourne,5a6870ff32328a1060e06592,victoria-university
613aee4dfc9db990e6c5ef66,Western Sydney University - Bankstown Campus,western-sydney-university-bankstown-campus,Australia,Sydney,australia,sydney,5a6870ff32328a1060e065a6,western-sydney-university
613aee4dfc9db990e6c5ef8e,TAFE Queensland Brisbane - Loganlea Campus,tafe-queensland-brisbane-loganlea-campus,Australia,Brisbane,australia,brisbane,5a68710032328a1060e065c3,tafe-queensland-brisbane
613aee4dfc9db990e6c5ef4b,Victoria University - Sunshine Campus,victoria-university-sunshine-campus,Australia,Melbourne,australia,melbourne,5a6870ff32328a1060e06592,victoria-university
613aee4dfc9db990e6c5ef46,Victoria University - City Queen Campus,victoria-university-city-queen-campus,Australia,Melbourne,australia,melbourne,5a6870ff32328a1060e06592,victoria-university
613aee4dfc9db990e6c5ef7f,Oxford Brookes University - Harcourt Hill Campus,oxford-brookes-university-harcourt-hill-campus,United Kingdom,Oxford (UK),united-kingdom,oxford,5a68710032328a1060e06624,oxford-brookes-university
613aee4dfc9db990e6c5ef64,Torrens University Australia Sydney - Torrens Language Centre,torrens-university-australia-sydney-torrens-language-centre,Australia,Sydney,australia,sydney,5a6870ff32328a1060e065a9,torrens-university-australia-sydney
613aee4dfc9db990e6c5ef5f,Torrens University Australia Melbourne - Flinders Street Campus,torrens-university-australia-melbourne-flinders-street-campus,Australia,Melbourne,australia,melbourne,5a6870ff32328a1060e06598,torrens-university-australia-melbourne
613aee4dfc9db990e6c5ef98,The University of Melbourne - SouthBank Campus,the-university-of-melbourne-southbank-campus,Australia,Melbourne,australia,melbourne,5a6870ff32328a1060e06595,the-university-of-melbourne
613aee4dfc9db990e6c5ef50,University of Bedfordshire - Luton Campus,university-of-bedfordshire-luton-campus,United Kingdom,Luton,united-kingdom,luton,5a68710032328a1060e0662b,university-of-bedfordshire
613aee4dfc9db990e6c5ef7a,University of Brighton - Eastbourne Campus,university-of-brighton-eastbourne-campus,United Kingdom,Brighton (UK),united-kingdom,brighton,5a68710032328a1060e06629,university-of-brighton
613aee4dfc9db990e6c5ef78,University of Brighton - Moulsecoomb Campus,university-of-brighton-moulsecoomb-campus,United Kingdom,Brighton (UK),united-kingdom,brighton,5a68710032328a1060e06629,university-of-brighton
613aee4dfc9db990e6c5ef7d,Oxford Brookes University - Headington Campus,oxford-brookes-university-headington-campus,United Kingdom,Oxford (UK),united-kingdom,oxford,5a68710032328a1060e06624,oxford-brookes-university
